David Warner,Adam Milne,1,3,0,0,2,0,1,7,17,242.85714285714286,0
YV Takawale,SK Warne,2,2,0,0,0,0,0,4,2,50.0,1
MS Dhoni,Ashish Nehra,7,16,7,0,7,0,3,40,76,190.0,2
MS Bisla,SE Bond,5,5,0,0,1,0,0,11,9,81.81818181818181,0
Dinesh Karthik,MS Gony,3,0,0,0,1,0,0,4,4,100.0,1
J Botha,AM Salvi,2,4,1,0,1,0,0,8,10,125.0,0
S Badrinath,TM Dilshan,3,9,0,0,1,0,1,14,19,135.71428571428572,0
Murali Vijay,Dwayne Smith,4,5,2,0,1,0,1,13,19,146.15384615384616,0
Ashish Nehra,J Theron,1,1,0,0,0,0,0,2,1,50.0,0
Shane Watson,JA Morkel,12,10,0,1,7,0,0,30,41,136.66666666666666,0
Mitchell Marsh,Ishant Sharma,1,0,0,0,0,0,0,1,0,0.0,0
Aaron Finch,A Singh,2,0,0,0,0,0,0,2,0,0.0,0
Ravindra Jadeja,Brad Hogg,7,6,0,0,1,0,1,15,16,106.66666666666667,2
Manish Pandey,RG More,0,2,0,0,0,0,0,2,2,100.0,0
AC Gilchrist,Dwayne Bravo,8,13,0,0,1,0,3,25,35,140.0,1
Ambati Rayudu,AB Agarkar,7,11,1,0,2,0,1,22,27,122.72727272727273,1
AB Agarkar,Ashish Nehra,1,1,1,0,0,0,0,3,3,100.0,0
Unmukt Chand,A Singh,6,0,0,0,0,0,0,6,0,0.0,0
AG Paunikar,L Balaji,8,2,0,0,1,0,0,11,6,54.54545454545455,0
MJ Lumb,Rohit Sharma,3,5,1,0,0,0,0,9,7,77.77777777777777,0
JJ Roy,Trent Boult,4,0,0,0,2,0,0,6,8,133.33333333333334,0
Azhar Mahmood,Ravichandran Ashwin,1,3,1,0,0,0,0,5,5,100.0,0
SS Tiwary,Brad Hogg,1,7,0,0,0,0,1,9,13,144.44444444444446,0
Shreyas Iyer,Andre Russell,14,6,1,0,2,0,2,25,28,112.0,2
David Miller,Sunil Naine,4,6,2,0,0,0,0,12,10,83.33333333333333,0
