Pawan Negi,John Hastings,3,0,0,0,0,0,0,3,0,0.0,0,11,3
Sam Billings,Adam Zampa,0,1,0,0,0,0,0,1,1,100.0,0,1,9
Aaron Finch,Jaydev Unadkat,3,9,0,0,3,0,2,17,33,194.11764705882354,0,0,11
Manish Pandey,Gurkeerat Singh Mann,3,2,0,0,0,0,0,5,2,40.0,0,3,3
Lokesh Rahul,Krunal Pandya,5,6,0,1,0,0,0,12,9,75.0,0,4,0
Jos Buttler,Varun Aaron,2,4,1,0,1,0,1,9,16,177.77777777777777,0,7,5
Jean-Paul Duminy,Tim Southee,3,8,0,1,0,0,0,12,11,91.66666666666667,0,3,10
Ambati Rayudu,Ankit Rajpoot,3,4,2,0,0,0,0,9,8,88.88888888888889,0,3,9
Unmukt Chand,Sandeep Sharma,1,0,0,0,0,0,0,1,0,0.0,0,11,2
Tirumalsetti Suman,Ishant Sharma,11,5,0,0,1,0,0,17,9,52.94117647058823,0,4,7
Ishant Sharma,Dwayne Bravo,1,1,0,0,1,0,0,3,5,166.66666666666666,0,10,8
Brendon McCullum,Iqbal Abdulla,3,8,0,0,0,0,0,11,8,72.72727272727273,1,6,5
Mitchell Marsh,Ravindra Jadeja,4,1,1,0,0,0,0,6,3,50.0,1,11,1
Dwayne Smith,Imran Tahir,7,6,0,0,2,0,0,15,14,93.33333333333333,3,3,10
Yusuf Pathan,Ravichandran Ashwin,17,9,2,0,3,0,3,34,43,126.47058823529412,3,6,8
Jean-Paul Duminy,David Wiese,2,6,2,0,0,0,0,10,10,100.0,1,3,6
Dwayne Bravo,Ashok Dinda,13,3,2,0,2,0,0,20,15,75.0,1,8,7
James Faulkner,Kuldeep Yadav,0,0,0,1,0,0,0,1,3,300.0,0,7,6
Dwayne Smith,Rishi Dhawan,2,5,0,0,0,0,0,7,5,71.42857142857143,0,3,0
Rohit Sharma,Iqbal Abdulla,5,12,0,0,1,0,1,19,22,115.78947368421052,1,5,5
Rishi Dhawan,Chris Morris,1,1,1,0,0,0,0,3,3,100.0,1,1,11
Ajinkya Rahane,Vinay Kumar,23,22,8,0,7,0,2,62,78,125.80645161290323,2,6,8
Faf du Plessis,Stuart Binny,3,2,1,0,3,0,0,9,16,177.77777777777777,0,8,0
Shreyas Iyer,Karn Sharma,2,3,0,0,0,0,3,8,21,262.5,0,4,11
Murali Vijay,Lasith Malinga,22,14,0,0,4,0,0,40,30,75.0,0,3,4
Dhawal Kulkarni,Rajat Bhatia,3,1,0,0,0,0,0,4,1,25.0,1,1,7
Jos Buttler,Chris Morris,5,3,0,0,3,0,2,13,27,207.69230769230768,0,7,11
Kevin Pietersen,Ishant Sharma,1,2,0,0,0,0,0,3,2,66.66666666666667,0,8,7
Dwayne Bravo,Mitchell Marsh,3,0,0,0,0,0,0,3,0,0.0,0,8,6
Parthiv Patel,Murali Vijay,1,1,0,0,1,0,0,3,5,166.66666666666666,0,3,3
Lendl Simmons,Mohit Sharma,10,10,4,0,4,0,4,32,58,181.25,0,8,7
Jean-Paul Duminy,Ishwar Pandey,9,1,2,2,0,0,0,14,11,78.57142857142857,2,3,0
Praveen Kumar,Amit Mishra,2,0,0,0,0,0,0,2,0,0.0,1,11,4
Jean-Paul Duminy,Moises Henriques,1,2,0,0,0,0,0,3,2,66.66666666666667,0,3,5
Unmukt Chand,Ashok Dinda,5,1,0,0,1,0,0,7,5,71.42857142857143,0,11,7
Virat Kohli,Lasith Malinga,13,13,0,0,3,0,0,29,25,86.20689655172414,0,5,4
Brendon McCullum,Andre Russell,5,1,0,0,0,0,0,6,1,16.666666666666668,1,6,10
Pawan Negi,Yuzvendra Chahal,0,1,0,0,0,0,1,2,7,350.0,0,11,2
Robin Uthappa,Rajat Bhatia,9,12,1,0,0,0,4,26,38,146.15384615384616,0,2,7
Yusuf Pathan,Dhawal Kulkarni,10,6,3,0,2,0,0,21,20,95.23809523809524,1,6,7
Shaun Marsh,Stuart Binny,2,5,1,0,2,0,0,10,15,150.0,0,3,0
Ajinkya Rahane,Karn Sharma,15,18,6,0,4,0,1,44,52,118.18181818181819,3,6,11
Shane Watson,Ravichandran Ashwin,9,21,0,0,5,0,3,38,59,155.26315789473685,1,3,8
Kane Williamson,Zaheer Khan,3,6,0,0,2,0,0,11,14,127.27272727272727,0,7,8
Moises Henriques,Shahbaz Nadeem,5,2,0,0,2,0,0,9,10,111.11111111111111,1,8,11
Wriddhiman Saha,Ishwar Pandey,2,2,0,0,0,0,1,5,8,160.0,0,0,0
Ambati Rayudu,Ashish Nehra,5,7,3,0,1,0,2,18,29,161.11111111111111,3,3,1
Manish Pandey,Ashish Nehra,7,3,0,0,2,0,0,12,11,91.66666666666667,0,3,1
Ravindra Jadeja,Pradeep Sangwan,1,3,0,0,1,0,0,5,7,140.0,0,0,5
Steven Smith,Karn Sharma,19,19,5,0,4,0,2,49,57,116.3265306122449,1,0,11
Chris Gayle,Jayant Yadav,3,1,0,0,0,0,0,4,1,25.0,0,9,9
Quinton de Kock,Zaheer Khan,2,1,0,0,0,0,0,3,1,33.333333333333336,0,4,8
Jos Buttler,Ashish Nehra,2,1,1,0,1,0,0,5,7,140.0,2,7,1
Dwayne Bravo,Mitchell McClenaghan,2,0,0,0,0,0,1,3,6,200.0,1,8,11
Morne Morkel,Ravichandran Ashwin,2,0,0,0,0,0,0,2,0,0.0,1,1,8
Virat Kohli,Mustafizur Rahman,10,4,2,0,2,0,1,19,22,115.78947368421052,1,5,6
Lokesh Rahul,KC Cariappa,1,1,0,0,0,0,0,2,1,50.0,1,4,9
Glenn Maxwell,Imran Tahir,8,5,3,0,0,0,5,21,41,195.23809523809524,2,8,10
Chris Morris,Axar Patel,3,2,0,0,0,0,0,5,2,40.0,1,7,2
Sanju Samson,Shahbaz Nadeem,5,4,1,0,1,0,1,12,16,133.33333333333334,1,0,11
Sachin Baby,Mitchell McClenaghan,0,2,0,0,0,0,0,2,2,100.0,0,1,11
